MEM_CODE,MEM_NAME,MEM_SEX,MEM_BIRTH,MEM_PHONE,MEM_ADDR,MEM_EMAIL,MEM_ID,MEM_PWD
mem_1,홍길일,남,1990-01-01,010-1111-1111,서울,user1@gmail.com,user1,user1
mem_2,홍길이,남,1990-01-02,010-1111-1112,서울,user2@gmail.com,user2,user2
mem_3,홍길삼,남,1990-01-03,010-1111-1113,서울,user3@gmail.com,user3,user3
mem_4,홍길사,남,1990-01-04,010-1111-1114,서울,user4@gmail.com,user4,user4
mem_5,홍길오,남,1990-01-05,010-1111-1115,서울,user5@gmail.com,user5,user5
mem_6,홍길육,여,1990-01-06,010-1111-1116,대전,user6@gmail.com,user6,user6
mem_7,홍길칠,여,1990-01-07,010-1111-1117,대전,user7@gmail.com,user7,user7
mem_8,홍길팔,여,1990-01-08,010-1111-1118,대전,user8@gmail.com,user8,user8
mem_9,홍길구,여,1990-01-09,010-1111-1119,대전,user9@gmail.com,user9,user9
mem_10,홍길십,여,1990-01-10,010-1111-1120,대전,user10@gmail.com,user10,user10
