mem_code,name,birthday,contact,addr,email,id,pwd,gender
MEM1,È«±æÀÏ,1990-01-01,010-1111-1111,¼­¿ï,user1@gmail.com,user1,user1,M
MEM2,È«±æÀÌ,1990-01-02,010-1111-1112,¼­¿ï,user2@gmail.com,user2,user2,M
MEM3,È«±æ»ï,1990-01-03,010-1111-1113,¼­¿ï,user3@gmail.com,user3,user3,M
MEM4,È«±æ»ç,1990-01-04,010-1111-1114,¼­¿ï,user4@gmail.com,user4,user4,M
MEM5,È«±æ¿À,1990-01-05,010-1111-1115,¼­¿ï,user5@gmail.com,user5,user5,M
MEM6,È«±æÀ°,1990-01-06,010-1111-1116,´ëÀü,user6@gmail.com,user6,user6,F
MEM7,È«±æÄ¥,1990-01-07,010-1111-1117,´ëÀü,user7@gmail.com,user7,user7,F
MEM8,È«±æÆÈ,1990-01-08,010-1111-1118,´ëÀü,user8@gmail.com,user8,user8,F
MEM9,È«±æ±¸,1990-01-09,010-1111-1119,´ëÀü,user9@gmail.com,user9,user9,F
MEM10,È«±æ½Ê,1990-01-10,010-1111-1120,´ëÀü,user10@gmail.com,user10,user10,F
